Region,Region_CN,Total Sown Area,Sown Area of Grain Crops,Cotton,Oil-bearing Crops,Fiber Crops,Sugar Crops,Tobacco,Vegetables,Tea Plantations,Orchards
Beijing, 北  京,88.6,46.5,0,1.2,,,0,30.1,,43.8
Tianjin, 天  津,410.3,339.3,14.1,1.1,,,,48.3,,26.6
Hebei, 河  北,8132.7,6469.2,203.9,364.5,0,12.4,1.4,794.6,0,506
Shanxi, 山  西,3524.4,3126.2,2.3,99.8,0.1,0,1.3,180.4,0.2,374.9
Neimenggu, 内蒙古,8885,6827.5,0.1,930.9,1.2,127.4,1.1,200.5,,97.5
Liaoning, 辽  宁,4217.1,3488.7,0,293.5,0,2.4,5,312.1,,352.7
Jilin, 吉  林,6117.1,5644.9,,257.4,0.1,0.9,8.5,121.5,,26.5
Heilongjiang, 黑龙江,14770.1,14338.1,,51.6,21.3,8.9,10,147.1,,29.7
Shanghai, 上  海,261.4,117.4,0.1,2.8,,0.1,,86.8,0.1,13.4
Jiangsu, 江  苏,7442.6,5381.5,11.6,283.2,0.2,3.6,,1424.5,33.8,199.5
Zhejiang, 浙  江,1999.6,977.4,5.6,140.4,0,6.9,0.5,645.8,201.4,321.5
Anhui, 安  徽,8782,7287,60.3,528.2,2.1,2.8,8.7,682.7,187.1,160.3
Fujian, 福  建,1599.3,822.4,0,77.5,0,4.8,50.2,579.8,219.8,344.1
Jiangxi, 江  西,5521.2,3665.1,42.7,677.1,3.6,14,12.3,644.4,109.1,420.1
Shandong, 山  东,10933.1,8312.8,169.3,682.2,0,,17.8,1464.2,25.1,585.3
Henan, 河  南,14714,10734.5,33.8,1533.9,2.8,1.6,86.5,1732.9,114.6,432.3
Hubei, 湖  北,7815.9,4608.6,162.8,1278.6,2.7,6.5,35.7,1257.9,347.7,380.9
Hunan, 湖  南,8122.8,4616.4,63,1365.5,2,7.4,83.4,1313.2,174.9,535.9
Guangdong, 广  东,4357.4,2160.6,,348.3,0.1,169.7,16.7,1320.5,72.2,1007
Guangxi, 广  西,5989.2,2747,1.1,253.6,2.6,890.2,10.1,1485.2,77.3,1331.9
Hainan, 海  南,676.2,272.6,,31.6,0,18.4,0.1,258.8,1.8,171.4
Chongqin, 重  庆,3345.7,1999.3,,329.9,2.2,1.9,29.8,753.2,47.5,321.4
Sichuan, 四  川,9693,6279.3,2.9,1495.1,17.2,9.6,74.6,1413,387,776.5
Guizhou, 贵  州,5481.6,2709.4,0.4,598.1,0.2,10.6,139,1435.6,464.4,684.5
Yunnan, 云  南,6938.9,4165.8,0,314.1,0.7,246.1,409.4,1165,480.9,628.4
Xizang, 西  藏,271.5,184.8,,21.5,,,0,25.8,2.4,5.4
Shanxi_, 陕  西,4132.1,2998.9,5.5,273.9,0.9,0.1,22.4,507.1,145.2,1134.2
Gansu, 甘  肃,3831.6,2581.1,19.3,290,1.6,4.1,1.7,381.3,12.3,319
Qinghai, 青  海,553.5,280.2,,142.3,,0,,44.4,,7.6
Ningxia, 宁  夏,1153,677.4,,39,,0,0.3,131.2,,103
Xinjiang, 新  疆,6170,2203.6,2540.5,218.6,4.3,59.9,,274.8,,935.4
